Event,Date,Location,Title,Listed,Slides,Video,Other,Abstract
ASF Member Conversations,2018-06-14,"Berlin, Germany",What Does The ASF Board Actually Do?,,,https://www.youtube.com/watch?v=jm_whow_zxk,,Rich Bowen and Shane Curcuru discuss what the board of directors actually does at the ASF (hint: paperwork and community building!)
ApacheCon NA 2018,2018-09-27,"Montreal, CA",Apache Way: Effective Open Source Project Management,Y,https://shaneslides.com/apachecon/TheApacheWay-ApacheConNA2018.html,,https://feathercast.apache.org/2018/09/29/the-apache-way-effective-open-source-project-management-shane-curcuru/,
ApacheCon NA 2018,2018-09-27,"Montreal, CA",Who Pays For Open Source?,,https://shaneslides.com/apachecon/WhoPaysForOpenSource-ApacheConNA2018.html,,https://feathercast.apache.org/2018/09/29/who-pays-for-open-source-shane-curcuru/,
Lightning Talk 2018,2018-09-27,"Montreal, CA",Five Things You Might Not Know About Apache,Y,http://shaneslides.com/lightningtalk/LightningTalk-ApacheConNA-2018s.pdf,https://youtu.be/FTROCvmhXko?t=148,https://www.flickr.com/photos/159598291@N04/44047968875/in/photolist-2a7nmxe-28JMY65-2bqGtAq-Pn623C-Pn63FY-JTBZG-JTBX1-MK3az6-2bqGkgj-2buZkhc-MK37PX-5AEJqV-5AJYBs-5AEKoi-gP4aJ-5AK1bd-5AELAk-gXdD6-5AJWy7-28JNa8q-2bqGpPh-JTMX8-pJXUf-5AEBGt-5AEGS4-K1yn2-JTBUQ-gLpsq-JTBP7-gLpyj-JTjJe-gLpoZ-gLpnt-gLppK-gLpw2-gLpzq-gLpph-gLpwc-gLpvw-gLpvc-gLpmZ-gLpuY-gLpud-gLpt3-5AK1Ys-2hAQv52-7dEBjB-7dJvhC-2hAMrRm-7nR7R9,
ApacheCon EU 2019,2019-10-23,"Berlin, Germany",Who Owns That Open Source Brand?,Y,http://shaneslides.com/apachecon/WhoOwnsThatFOSSBrand-SCurcuru-2019.pdf,https://www.youtube.com/watch?v=K7FFvIq2HCI,,
ApacheCon EU 2019,2019-10-23,"Berlin, Germany",Podling Shark Tank (Panel),,,https://www.youtube.com/watch?v=cL_hfVQTGyk,,
ApacheCon EU 2019,2019-10-24,"Berlin, Germany",Apache Way: Effective Open Source Project Management,,,https://www.youtube.com/watch?v=DxRP4TPjbmQ,,
Lightning Talk 2019,2019-10-24,"Berlin, Germany",Five Things You Might Not Know About Apache,,,https://youtu.be/Np4fhv4hKiE?t=1165,,
Red Hat's Community Central,2020-08-27,online,FOSS Foundations and Trademarks - Panel Discussion,,,https://www.youtube.com/watch?v=0Sj4g2aYjqk,,An in depth discussion of how five different FOSS Foundations manage trademarks for their project communities.
ApacheCon @Home 2020,2020-09-30,online,The Apache Way: Practical Open Source Project Management,Y,http://shaneslides.com/apachecon/TheApacheWay-ApacheConAtHome.html,https://www.youtube.com/watch?v=rI-4CpV6lP4,,
ApacheCon @Home 2020,2020-10-01,online,Who Pays For Open Source Foundations?,Y,http://shaneslides.com/apachecon/WhoPaysForFoundations-ApacheConAtHome.html,https://www.youtube.com/watch?v=6ntaGk6-FOg,,
FOSSBackstage 2021,2021-02-11,online,Practical Trademark Law For Your Projects,Y,http://shaneslides.com/fossbackstage/PracticalTrademarkLaw-FOSSBackstage2021.html,https://www.youtube.com/watch?v=64K0LiZ4RrU&list=PLq-odUc2x7i-A0sOgr-5JJUs5wkgdiXuR&index=9,,
The Open Road Interviews,2021-05-25,online,Do Foundations Drive Or Support Projects? Panel Discussion,,,https://www.youtube.com/watch?v=15SYCA1cCCE,,"Panel with: VM Brassuer, Guy Martin, and Shane Curcuru on how foundations do (or don't) drive their hosted projects."
The Open Road Interviews,2021-05-25,online,When Do Projects Need Fondations? Panel Discussion,,,https://www.youtube.com/watch?v=2-wXtduhVX0,,"Panel with: VM Brassuer, Guy Martin, and Shane Curcuru on when projects should seek out a foundation home."
The Open Road Interviews,2021-05-25,online,Why Should My Project Join Your Federation? Panel Discussion,,,https://www.youtube.com/watch?v=N-9pgUKreO4,,"Panel with: VM Brassuer, Guy Martin, and Shane Curcuru on helping you understand which foundations your project would want to join."
The Open Road Interviews,2021-05-25,online,What Is An Ideal Foundation? Panel Discussion,,,https://www.youtube.com/watch?v=5RHJ_y3_Ohk,,"Panel with: VM Brassuer, Guy Martin, and Shane Curcuru on what the key services and aspects are that make a great FOSS Foundation home for projects."
ApacheCon @Home 2021,2021-09-22,online,Who Pays For FOSS Foundations?,Y,https://shaneslides.com/apachecon/WhoPaysForFoundations-ApacheConAtHome2021.html,https://www.youtube.com/watch?v=BlSqVMzdj6w&list=PLU2OcwpQkYCwZfTRhACzyM6QT1qPijPFw&index=167,,
FOSSBackstage 2022,2022-03-17,online,Practical Trademark Law For FOSS Projects AMA Discussion,Y,https://shaneslides.com/fossbackstage/PracticalTrademarkAMA-FOSSBackstage2022.html,https://www.youtube.com/watch?v=7WzzlF0KmAg,,
